ID,SFR,2MASS ID,NAME,PI,EPI,FL_PI,DPC,EDPC_H,EDPC_L,FL_MULT,SEP,SED,SPT,REF_SPT,logTeff,elogTeff,REF_Teff,logLs_in,d_in,elogLs_in,logLs,elogLs_H,elogLs_L,REF_Ls,FL_logMs,logMs,elogMs_H,elogMs_L,logt,elogt_H,elogt_L,nu_B7,FL_B7,F_B7,eF_B7,LIM_B7,REF_B7,nu_B6,FL_B6,F_B6,eF_B6,LIM_B6,REF_B6,nu_B3,FL_B3,F_B3,eF_B3,LIM_B3,REF_B3,FL_A67,A67,LIM_A67,FL_A36,A36,LIM_A36,FL_R7,R7,LIM_R7,REF_R7
450,Cha,J11124861-7647066,Hn_17,5.23,0.06,GaiaDR2,190.0,4.7,3.8,U,-1,II,M4.5,Manara16,3.505,0.010,Manara16,-0.959,160.0,0.200,-0.821,0.213,0.187,Manara16,,-0.735,0.077,0.077,6.11,0.21,0.63,338.0,1,-0.10,0.16,0.48,Pascucci16,0.0,-1,0.00,0.00,0.00,none,0.0,-1,0.00,0.00,0.00,none,-1,0.00,0.00,-1,0.00,0.00,,,,
451,Cha,J11132446-7629227,Hn_18,5.28,0.05,GaiaDR2,188.4,4.2,3.7,U,-1,II,M4,Manara16,3.515,0.010,Manara16,-0.959,160.0,0.200,-0.820,0.203,0.198,Manara16,,-0.673,0.105,0.063,6.24,0.28,0.47,338.0,0,8.07,0.79,0.00,Pascucci16,0.0,-1,0.00,0.00,0.00,none,0.0,-1,0.00,0.00,0.00,none,-1,0.00,0.00,-1,0.00,0.00,,,,
452,Cha,J11142454-7733062,Hn_21W,5.29,0.08,GaiaDR2,188.0,4.9,4.1,B,5.48,II,M4.5,Manara16,3.505,0.010,Manara16,-0.921,160.0,0.200,-0.769,0.191,0.213,Manara16,,-0.746,0.087,0.065,6.09,0.20,0.66,338.0,0,7.43,0.34,0.00,Pascucci16,0.0,-1,0.00,0.00,0.00,none,0.0,-1,0.00,0.00,0.00,none,-1,0.00,0.00,-1,0.00,0.00,,,,
453,Cha,J11160287-7624533,ESO-Ha_574,4.70,0.61,avg,211.6,43.3,18.9,U,-1,II,K8,Luhman07,3.597,0.010,Luhman07,-2.469,162.2,0.070,-2.212,0.154,0.127,Luhman07,,-0.286,0.007,0.000,7.97,0.00,0.02,338.0,0,12.83,1.68,0.00,Pascucci16,0.0,-1,0.00,0.00,0.00,none,0.0,-1,0.00,0.00,0.00,none,-1,0.00,0.00,-1,0.00,0.00,,,,
454,Cha,J11173700-7704381,Sz_45,5.31,0.02,GaiaDR2,186.8,4.2,2.9,U,-1,II,M0.5,Manara14,3.577,0.010,Manara14,-0.377,160.0,0.200,-0.234,0.195,0.206,Manara14,,-0.309,0.088,0.044,6.10,0.40,0.30,338.0,0,28.26,1.29,0.00,Pascucci16,0.0,-1,0.00,0.00,0.00,none,0.0,-1,0.00,0.00,0.00,none,-1,0.00,0.00,-1,0.00,0.00,,,,
455,Cha,J11175211-7629392,J11175211,5.21,0.06,GaiaDR2,191.0,4.5,4.0,U,-1,II,M4.5,Luhman07,3.505,0.010,Luhman07,-1.060,162.2,0.070,-0.916,0.070,0.074,Luhman07,,-0.725,0.082,0.113,6.20,0.17,0.23,338.0,1,-0.31,0.16,0.48,Pascucci16,0.0,-1,0.00,0.00,0.00,none,0.0,-1,0.00,0.00,0.00,none,-1,0.00,0.00,-1,0.00,0.00,,,,
456,Cha,J11183572-7935548,J11183572,10.57,0.15,GaiaDR2,94.4,1.7,1.5,U,-1,II,M5,Manara17,3.495,0.010,Manara17,-0.585,160.0,0.200,-1.052,0.212,0.191,Manara17,,-0.810,0.093,0.073,6.29,0.26,0.33,338.0,0,14.52,0.35,0.00,Pascucci16,0.0,-1,0.00,0.00,0.00,none,0.0,-1,0.00,0.00,0.00,none,-1,0.00,0.00,-1,0.00,0.00,,,,
457,Cha,J11241186-7630425,J11241186,5.41,0.07,GaiaDR2,184.5,3.7,4.6,U,-1,II,M5.5,Manara17,3.486,0.010,Manara17,-1.523,160.0,0.200,-1.442,0.241,0.162,Manara17,,-0.916,0.097,0.097,6.53,0.28,0.26,338.0,0,1.47,0.16,0.00,Pascucci16,0.0,-1,0.00,0.00,0.00,none,0.0,-1,0.00,0.00,0.00,none,-1,0.00,0.00,-1,0.00,0.00,,,,
458,Cha,J11432669-7804454,J11432669,5.54,0.56,GaiaDR2,180.5,24.7,14.5,U,-1,II,M5.5,Manara17,3.486,0.010,Manara17,-1.046,160.0,0.200,-0.930,0.230,0.212,Manara17,,-0.854,0.074,0.074,6.05,0.31,0.23,338.0,1,1.36,0.50,2.86,Pascucci16,0.0,-1,0.00,0.00,0.00,none,0.0,-1,0.00,0.00,0.00,none,-1,0.00,0.00,-1,0.00,0.00,,,,
,Usco,J15354856-2958551,J15354856,,,?,,,,,,II,M4,Luhman12,3.515,0.019,Barenfeld16,-0.600,145.0,0.150,,,,Barenfeld16,,,,,,,,,0,1.92,0.15,0.00,Barenfeld16,,,,,,,,,,,,,,,,,,,,,,
,Usco,J15514032-2146103,J15514032,7.03,0.11,GaiaDR2,,,,,,EVOLVED,M4,Luhman12,3.515,0.019,Barenfeld16,-1.310,145.0,0.140,,,,Barenfeld16,,,,,,,,,0,0.76,0.16,0.00,Barenfeld16,,,,,,,,,,,,,,,,,,,,,,
,Usco,J15521088-2125372,J15521088,5.97,0.27,GaiaDR2,,,,,,II,M4,Luhman12,3.515,0.019,Barenfeld16,-1.810,145.0,0.140,,,,Barenfeld16,,,,,,,,,1,-0.10,0.15,0.45,Barenfeld16,,,,,,,,,,,,,,,,,,,,,,
,Usco,J15530132-2114135,J15530132,6.83,0.12,GaiaDR2,,,,,,II,M4,Luhman12,3.515,0.019,Barenfeld16,-1.200,145.0,0.140,,,,Barenfeld16,,,,,,,,,0,5.78,0.14,0.00,Barenfeld16,,,,,,,,,,,,,,,,,,,,,,
,Usco,J15534211-2049282,J15534211,7.37,0.18,GaiaDR2,,,,,,II,M3.5,Luhman12,3.524,0.019,Barenfeld16,-0.840,145.0,0.140,,,,Barenfeld16,,,,,,,,,0,2.93,0.29,0.00,Barenfeld16,,,,,,,,,,,,,,,,,,,,,,
,Usco,J15551704-2322165,J15551704,8.02,0.11,GaiaDR2,,,,,,DEBRIS,M2.5,Luhman12,3.543,0.018,Barenfeld16,-0.540,145.0,0.150,,,,Barenfeld16,,,,,,,,,1,0.11,0.15,0.56,Barenfeld16,,,,,,,,,,,,,,,,,,,,,,
,Usco,J15554883-2512240,HD_142506,6.95,0.05,GaiaDR2,,,,,,DEBRIS,G3,Luhman12,3.766,0.008,Barenfeld16,0.370,145.0,0.150,,,,Barenfeld16,,,,,,,,,1,-0.14,0.15,0.45,Barenfeld16,,,,,,,,,,,,,,,,,,,,,,
,Usco,J15562477-2225552,J15562477,7.08,0.11,GaiaDR2,,,,,,II,M4,Luhman12,3.515,0.019,Barenfeld16,-1.180,145.0,0.140,,,,Barenfeld16,,,,,,,,,1,0.28,0.18,0.76,Barenfeld16,,,,,,,,,,,,,,,,,,,,,,
,Usco,J15570641-2206060,J15570641,6.34,0.12,GaiaDR2,,,,,,II,M4,Luhman12,3.515,0.019,Barenfeld16,-1.440,145.0,0.150,,,,Barenfeld16,,,,,,,,,1,0.32,0.20,0.92,Barenfeld16,,,,,,,,,,,,,,,,,,,,,,
,Usco,J15572986-2258438,UscoCTIO_13,,,?,,,,,,EVOLVED,M4,Luhman12,3.515,0.019,Barenfeld16,-1.330,145.0,0.150,,,,Barenfeld16,,,,,,,,,1,-0.04,0.20,0.60,Barenfeld16,,,,,,,,,,,,,,,,,,,,,,
,Usco,J15581270-2328364,SAO_183978,6.97,0.06,GaiaDR2,,,,,,DEBRIS,G6,Luhman12,3.756,0.009,Barenfeld16,0.400,145.0,0.150,,,,Barenfeld16,,,,,,,,,1,0.00,0.15,0.45,Barenfeld16,,,,,,,,,,,,,,,,,,,,,,
,Usco,J15582981-2310077,Usco_42,6.78,0.13,GaiaDR2,,,,,,II,M3,Luhman12,3.533,0.018,Barenfeld16,-1.310,145.0,0.140,,,,Barenfeld16,,,,,,,,,0,5.86,0.18,0.00,Barenfeld16,,,,,,,,,,,,,,,,,,,,,,
,Usco,J15583692-2257153,HD_143006,6.02,0.15,GaiaDR2,,,,,,II,G7,Luhman12,3.751,0.009,Barenfeld16,0.470,145.0,0.150,,,,Barenfeld16,,,,,,,,,0,174.92,0.27,0.00,Barenfeld16,,,,,,,,,,,,,,,,,,,,,,
,Usco,J15584772-1757595,J15584772,7.20,0.05,GaiaDR2,,,,,,DEBRIS,K4,Luhman12,3.662,0.010,Barenfeld16,-0.010,145.0,0.150,,,,Barenfeld16,,,,,,,,,1,-0.20,0.15,0.45,Barenfeld16,,,,,,,,,,,,,,,,,,,,,,
,Usco,J16001330-2418106,J16001330,6.84,0.05,GaiaDR2,,,,,,DEBRIS,M0,Luhman12,3.586,0.024,Barenfeld16,-0.560,145.0,0.150,,,,Barenfeld16,,,,,,,,,1,0.05,0.15,0.50,Barenfeld16,,,,,,,,,,,,,,,,,,,,,,
,Usco,J16001730-2236504,J16001730,6.72,0.10,GaiaDR2,,,,,,II,M4,Luhman12,3.515,0.019,Barenfeld16,-0.820,145.0,0.150,,,,Barenfeld16,,,,,,,,,1,0.10,0.15,0.55,Barenfeld16,,,,,,,,,,,,,,,,,,,,,,
,Usco,J16001844-2230114,J16001844,7.26,0.43,GaiaDR2,,,,,,II,M4.5,Luhman12,3.505,0.020,Barenfeld16,-1.130,145.0,0.150,,,,Barenfeld16,,,,,,,,,0,3.89,0.15,0.00,Barenfeld16,,,,,,,,,,,,,,,,,,,,,,
,Usco,J16014086-2258103,J16014086,,,?,,,,,,II,M4,Luhman12,3.515,0.019,Barenfeld16,-0.900,145.0,0.140,,,,Barenfeld16,,,,,,,,,0,3.45,0.14,0.00,Barenfeld16,,,,,,,,,,,,,,,,,,,,,,
,Usco,J16014157-2111380,J16014157,6.91,0.12,GaiaDR2,,,,,,II,M4,Luhman12,3.515,0.019,Barenfeld16,-1.560,145.0,0.150,,,,Barenfeld16,,,,,,,,,0,0.66,0.14,0.00,Barenfeld16,,,,,,,,,,,,,,,,,,,,,,
,Usco,J16020039-2221237,Usco_48,6.92,0.12,GaiaDR2,,,,,,DEBRIS,M1,Luhman12,3.569,0.017,Barenfeld16,-0.320,145.0,0.150,,,,Barenfeld16,,,,,,,,,1,-0.08,0.14,0.42,Barenfeld16,,,,,,,,,,,,,,,,,,,,,,
,Usco,J16020287-2236139,J16020287,,,?,,,,,,DEBRIS,M0,Luhman12,3.586,0.024,Barenfeld16,-1.410,145.0,0.140,,,,Barenfeld16,,,,,,,,,1,0.04,0.15,0.49,Barenfeld16,,,,,,,,,,,,,,,,,,,,,,
,Usco,J16020757-2257467,J16020757,7.13,0.06,GaiaDR2,,,,,,II,M2.5,Luhman12,3.543,0.018,Barenfeld16,-0.820,145.0,0.140,,,,Barenfeld16,,,,,,,,,0,5.26,0.27,0.00,Barenfeld16,,,,,,,,,,,,,,,,,,,,,,
,Usco,J16024152-2138245,J16024152,7.05,0.13,GaiaDR2,,,,,,II,M4.75,Luhman12,3.500,0.020,Barenfeld16,-1.440,145.0,0.140,,,,Barenfeld16,,,,,,,,,0,10.25,0.19,0.00,Barenfeld16,,,,,,,,,,,,,,,,,,,,,,
,Usco,J16025123-2401574,RX_J1602.8-2401B,6.95,0.07,GaiaDR2,,,,,,DEBRIS,K4,Luhman12,3.662,0.010,Barenfeld16,-0.200,145.0,0.150,,,,Barenfeld16,,,,,,,,,1,0.07,0.15,0.52,Barenfeld16,,,,,,,,,,,,,,,,,,,,,,
,Usco,J16030161-2207523,J16030161,6.94,0.17,GaiaDR2,,,,,,II,M4.75,Luhman12,3.500,0.020,Barenfeld16,-1.590,145.0,0.140,,,,Barenfeld16,,,,,,,,,0,2.81,0.12,0.00,Barenfeld16,,,,,,,,,,,,,,,,,,,,,,
,Usco,J16031329-2112569,J16031329,6.98,0.12,GaiaDR2,,,,,,II,M4.75,Luhman12,3.500,0.020,Barenfeld16,-1.380,145.0,0.140,,,,Barenfeld16,,,,,,,,,1,0.06,0.12,0.42,Barenfeld16,,,,,,,,,,,,,,,,,,,,,,
,Usco,J16032225-2413111,J16032225,6.93,0.14,GaiaDR2,,,,,,II,M3.5,Luhman12,3.524,0.019,Barenfeld16,-0.970,145.0,0.140,,,,Barenfeld16,,,,,,,,,0,2.42,0.15,0.00,Barenfeld16,,,,,,,,,,,,,,,,,,,,,,
,Usco,J16035767-2031055,RX_J1603.9-2031A,7.01,0.04,GaiaDR2,,,,,,II,K5,Luhman12,3.639,0.024,Barenfeld16,-0.170,145.0,0.150,,,,Barenfeld16,,,,,,,,,0,4.30,0.39,0.00,Barenfeld16,,,,,,,,,,,,,,,,,,,,,,
,Usco,J16035793-1942108,J16035793,6.33,0.08,GaiaDR2,,,,,,II,M2,Luhman12,3.552,0.018,Barenfeld16,-0.960,145.0,0.150,,,,Barenfeld16,,,,,,,,,0,1.17,0.14,0.00,Barenfeld16,,,,,,,,,,,,,,,,,,,,,,
,Usco,J16041740-1942287,J16041740,6.20,0.09,GaiaDR2,,,,,,II,M3.5,Luhman12,3.524,0.019,Barenfeld16,-1.070,145.0,0.140,,,,Barenfeld16,,,,,,,,,0,0.89,0.14,0.00,Barenfeld16,,,,,,,,,,,,,,,,,,,,,,
,Usco,J16042165-2130284,RX_J1604.3-2130A,6.66,0.06,GaiaDR2,,,,,,TD,K2,Luhman12,3.690,0.016,Barenfeld16,-0.240,145.0,0.150,,,,Barenfeld16,,,,,,,,,0,218.76,0.81,0.00,Barenfeld16,,,,,,,,,,,,,,,,,,,,,,
,Usco,J16043916-1942459,J16043916,6.61,0.10,GaiaDR2,,,,,,DEBRIS,M3.25,Luhman12,3.552,0.018,Barenfeld16,-1.170,145.0,0.140,,,,Barenfeld16,,,,,,,,,0,0.49,0.15,0.00,Barenfeld16,,,,,,,,,,,,,,,,,,,,,,
,Usco,J16050231-1941554,J16050231,6.33,0.13,GaiaDR2,,,,,,DEBRIS,M4.5,Luhman12,3.505,0.020,Barenfeld16,-1.570,145.0,0.140,,,,Barenfeld16,,,,,,,,,1,-0.16,0.15,0.45,Barenfeld16,,,,,,,,,,,,,,,,,,,,,,
,Usco,J16052459-1954419,J16052459,6.54,0.10,GaiaDR2,,,,,,DEBRIS,M3.5,Luhman12,3.524,0.019,Barenfeld16,-1.080,145.0,0.140,,,,Barenfeld16,,,,,,,,,1,0.22,0.15,0.67,Barenfeld16,,,,,,,,,,,,,,,,,,,,,,
,Usco,J16052556-2035397,J16052556,7.01,0.16,GaiaDR2,,,,,,EVOLVED,M5,Luhman12,3.495,0.020,Barenfeld16,-1.370,145.0,0.140,,,,Barenfeld16,,,,,,,,,0,1.53,0.20,0.00,Barenfeld16,,,,,,,,,,,,,,,,,,,,,,
,Usco,J16052661-1957050,J16052661,,,?,,,,,,EVOLVED,M4.5,Luhman12,3.505,0.020,Barenfeld16,-1.130,145.0,0.140,,,,Barenfeld16,,,,,,,,,1,0.07,0.15,0.52,Barenfeld16,,,,,,,,,,,,,,,,,,,,,,
,Usco,J16053215-1933159,J16053215,6.49,0.10,GaiaDR2,,,,,,EVOLVED,M5,Luhman12,3.495,0.020,Barenfeld16,-1.590,145.0,0.140,,,,Barenfeld16,,,,,,,,,1,0.25,0.20,0.85,Barenfeld16,,,,,,,,,,,,,,,,,,,,,,
,Usco,J16054540-2023088,J16054540,,,?,,,,,,II,M2,Luhman12,3.552,0.018,Barenfeld16,-0.900,145.0,0.140,,,,Barenfeld16,,,,,,,,,0,7.64,0.15,0.00,Barenfeld16,,,,,,,,,,,,,,,,,,,,,,
,Usco,J16055863-1949029,J16055863,6.72,0.08,GaiaDR2,,,,,,EVOLVED,M4,Luhman12,3.515,0.019,Barenfeld16,-1.200,145.0,0.140,,,,Barenfeld16,,,,,,,,,1,-0.08,0.15,0.45,Barenfeld16,,,,,,,,,,,,,,,,,,,,,,
,Usco,J16060061-1957114,J16060061,,,?,,,,,,EVOLVED,M5,Luhman12,3.495,0.020,Barenfeld16,-1.200,145.0,0.140,,,,Barenfeld16,,,,,,,,,1,0.00,0.13,0.39,Barenfeld16,,,,,,,,,,,,,,,,,,,,,,
,Usco,J16061330-2212537,J16061330,7.16,0.09,GaiaDR2,,,,,,DEBRIS,M4,Luhman12,3.515,0.019,Barenfeld16,-0.670,145.0,0.150,,,,Barenfeld16,,,,,,,,,1,-0.20,0.12,0.36,Barenfeld16,,,,,,,,,,,,,,,,,,,,,,
,Usco,J16062196-1928445,RX_J1606.3-1928,,,?,,,,,,TD,M0,Luhman12,3.586,0.024,Barenfeld16,-0.250,145.0,0.140,,,,Barenfeld16,,,,,,,,,0,4.08,0.52,0.00,Barenfeld16,,,,,,,,,,,,,,,,,,,,,,
,Usco,J16062277-2011243,J16062277,6.62,0.11,GaiaDR2,,,,,,TD,M5,Luhman12,3.495,0.020,Barenfeld16,-1.410,145.0,0.140,,,,Barenfeld16,,,,,,,,,0,0.59,0.14,0.00,Barenfeld16,,,,,,,,,,,,,,,,,,,,,,
,Usco,J16063539-2516510,J16063539,7.17,0.15,GaiaDR2,,,,,,EVOLVED,M4.5,Luhman12,3.505,0.020,Barenfeld16,-1.600,145.0,0.140,,,,Barenfeld16,,,,,,,,,0,1.69,0.15,0.00,Barenfeld16,,,,,,,,,,,,,,,,,,,,,,
,Usco,J16064102-2455489,J16064102,6.57,0.13,GaiaDR2,,,,,,EVOLVED,M4.5,Luhman12,3.505,0.020,Barenfeld16,-1.700,145.0,0.150,,,,Barenfeld16,,,,,,,,,0,3.05,0.14,0.00,Barenfeld16,,,,,,,,,,,,,,,,,,,,,,
,Usco,J16064115-2517044,J16064115,6.69,0.11,GaiaDR2,,,,,,EVOLVED,M3.25,Luhman12,3.552,0.018,Barenfeld16,-1.220,145.0,0.140,,,,Barenfeld16,,,,,,,,,1,0.20,0.15,0.65,Barenfeld16,,,,,,,,,,,,,,,,,,,,,,
,Usco,J16064385-1908056,J16064385,6.93,0.32,GaiaDR2,,,,,,EVOLVED,K6,Luhman12,3.624,0.015,Barenfeld16,-0.390,145.0,0.140,,,,Barenfeld16,,,,,,,,,0,0.84,0.15,0.00,Barenfeld16,,,,,,,,,,,,,,,,,,,,,,
,Usco,J16070014-2033092,J16070014,7.18,0.09,GaiaDR2,,,,,,II,M2.75,Luhman12,3.552,0.018,Barenfeld16,-0.950,145.0,0.140,,,,Barenfeld16,,,,,,,,,1,0.22,0.15,0.67,Barenfeld16,,,,,,,,,,,,,,,,,,,,,,
,Usco,J16070211-2019387,J16070211,,,?,,,,,,II,M5,Luhman12,3.495,0.020,Barenfeld16,-1.520,145.0,0.140,,,,Barenfeld16,,,,,,,,,1,-0.09,0.20,0.60,Barenfeld16,,,,,,,,,,,,,,,,,,,,,,
,Usco,J16070873-1927341,J16070873,6.84,0.09,GaiaDR2,,,,,,DEBRIS,M4,Luhman12,3.515,0.019,Barenfeld16,-1.280,145.0,0.140,,,,Barenfeld16,,,,,,,,,1,-0.09,0.15,0.45,Barenfeld16,,,,,,,,,,,,,,,,,,,,,,
,Usco,J16071971-2020555,J16071971,6.09,0.12,GaiaDR2,,,,,,DEBRIS,M3,Luhman12,3.533,0.018,Barenfeld16,-1.050,145.0,0.140,,,,Barenfeld16,,,,,,,,,1,0.16,0.16,0.64,Barenfeld16,,,,,,,,,,,,,,,,,,,,,,
,Usco,J16072625-2432079,J16072625,7.00,0.10,GaiaDR2,,,,,,II,M3.5,Luhman12,3.524,0.019,Barenfeld16,-0.920,145.0,0.140,,,,Barenfeld16,,,,,,,,,0,13.12,0.24,0.00,Barenfeld16,,,,,,,,,,,,,,,,,,,,,,
,Usco,J16072747-2059442,J16072747,,,?,,,,,,EVOLVED,M4.75,Luhman12,3.500,0.020,Barenfeld16,-0.990,145.0,0.150,,,,Barenfeld16,,,,,,,,,0,2.13,0.12,0.00,Barenfeld16,,,,,,,,,,,,,,,,,,,,,,
,Usco,J16073939-1917472,J16073939,7.28,0.07,GaiaDR2,,,,,,DEBRIS,M2,Luhman12,3.552,0.018,Barenfeld16,-0.760,145.0,0.140,,,,Barenfeld16,,,,,,,,,0,0.58,0.16,0.00,Barenfeld16,,,,,,,,,,,,,,,,,,,,,,
,Usco,J16075796-2040087,IRAS_16050-2032,5.04,0.20,GaiaDR2,,,,,,II,M1,Luhman12,3.569,0.017,Barenfeld16,-0.820,145.0,0.150,,,,Barenfeld16,,,,,,,,,0,23.49,0.12,0.00,Barenfeld16,,,,,,,,,,,,,,,,,,,,,,
,Usco,J16080555-2218070,J16080555,7.01,0.07,GaiaDR2,,,,,,DEBRIS,M3.25,Luhman12,3.552,0.018,Barenfeld16,-0.820,145.0,0.140,,,,Barenfeld16,,,,,,,,,1,0.02,0.12,0.38,Barenfeld16,,,,,,,,,,,,,,,,,,,,,,
,Usco,J16081566-2222199,J16081566,7.13,0.08,GaiaDR2,,,,,,II,M3.25,Luhman12,3.552,0.018,Barenfeld16,-0.850,145.0,0.140,,,,Barenfeld16,,,,,,,,,0,0.97,0.12,0.00,Barenfeld16,,,,,,,,,,,,,,,,,,,,,,
,Usco,J16082324-1930009,J16082324,7.25,0.06,GaiaDR2,,,,,,II,K9,Luhman12,3.590,0.010,Barenfeld16,-0.590,145.0,0.150,,,,Barenfeld16,,,,,,,,,0,43.19,0.81,0.00,Barenfeld16,,,,,,,,,,,,,,,,,,,,,,
,Usco,J16082751-1949047,J16082751,,,?,,,,,,EVOLVED,M5,Luhman12,3.495,0.020,Barenfeld16,-1.160,145.0,0.140,,,,Barenfeld16,,,,,,,,,0,0.76,0.13,0.00,Barenfeld16,,,,,,,,,,,,,,,,,,,,,,
,Usco,J16083455-2211559,J16083455,7.38,0.14,GaiaDR2,,,,,,EVOLVED,M4.5,Luhman12,3.505,0.020,Barenfeld16,-1.460,145.0,0.140,,,,Barenfeld16,,,,,,,,,1,0.01,0.12,0.37,Barenfeld16,,,,,,,,,,,,,,,,,,,,,,
,Usco,J16084894-2400045,J16084894,6.90,0.10,GaiaDR2,,,,,,II,M3.75,Luhman12,3.519,0.019,Barenfeld16,-1.250,145.0,0.140,,,,Barenfeld16,,,,,,,,,1,-0.06,0.15,0.00,Barenfeld16,,,,,,,,,,,,,,,,,,,,,,
,Usco,J16090002-1908368,J16090002,7.19,0.14,GaiaDR2,,,,,,II,M5,Luhman12,3.495,0.020,Barenfeld16,-1.330,145.0,0.140,,,,Barenfeld16,,,,,,,,,0,1.73,0.13,0.00,Barenfeld16,,,,,,,,,,,,,,,,,,,,,,
,Usco,J16090075-1908526,J16090075,7.27,0.08,GaiaDR2,,,,,,II,K9,Luhman12,3.590,0.010,Barenfeld16,-0.450,145.0,0.150,,,,Barenfeld16,,,,,,,,,0,47.28,0.91,0.00,Barenfeld16,,,,,,,,,,,,,,,,,,,,,,
,Usco,J16093558-1828232,J16093558,6.05,0.10,GaiaDR2,,,,,,II,M3,Luhman12,3.533,0.018,Barenfeld16,-1.060,145.0,0.140,,,,Barenfeld16,,,,,,,,,0,0.69,0.15,0.00,Barenfeld16,,,,,,,,,,,,,,,,,,,,,,
,Usco,J16094098-2217594,J16094098,6.84,0.05,GaiaDR2,,,,,,DEBRIS,M0,Luhman12,3.586,0.024,Barenfeld16,-0.170,145.0,0.150,,,,Barenfeld16,,,,,,,,,0,0.44,0.12,0.00,Barenfeld16,,,,,,,,,,,,,,,,,,,,,,
,Usco,J16095361-1754474,J16095361,6.34,0.21,GaiaDR2,,,,,,II,M3,Luhman12,3.533,0.018,Barenfeld16,-1.340,145.0,0.140,,,,Barenfeld16,,,,,,,,,0,0.87,0.16,0.00,Barenfeld16,,,,,,,,,,,,,,,,,,,,,,
,Usco,J16095441-1906551,J16095441,7.31,0.06,GaiaDR2,,,,,,DEBRIS,M1,Luhman12,3.569,0.017,Barenfeld16,-0.650,145.0,0.150,,,,Barenfeld16,,,,,,,,,0,0.50,0.16,0.00,Barenfeld16,,,,,,,,,,,,,,,,,,,,,,
,Usco,J16095933-1800090,J16095933,7.34,0.12,GaiaDR2,,,,,,II,M4,Luhman12,3.515,0.019,Barenfeld16,-1.000,145.0,0.140,,,,Barenfeld16,,,,,,,,,0,0.67,0.18,0.00,Barenfeld16,,,,,,,,,,,,,,,,,,,,,,
,Usco,J16101473-1919095,J16101473,7.15,0.08,GaiaDR2,,,,,,DEBRIS,M2,Luhman12,3.552,0.018,Barenfeld16,-0.840,145.0,0.140,,,,Barenfeld16,,,,,,,,,1,0.01,0.16,0.49,Barenfeld16,,,,,,,,,,,,,,,,,,,,,,
,Usco,J16101888-2502325,J16101888,6.42,0.16,GaiaDR2,,,,,,TD,M4.5,Luhman12,3.500,0.020,Barenfeld16,-1.350,145.0,0.150,,,,Barenfeld16,,,,,,,,,1,0.30,0.14,0.72,Barenfeld16,,,,,,,,,,,,,,,,,,,,,,
,Usco,J16102174-1904067,J16102174,7.46,0.06,GaiaDR2,,,,,,DEBRIS,M1,Luhman12,3.569,0.017,Barenfeld16,-0.670,145.0,0.150,,,,Barenfeld16,,,,,,,,,1,-0.05,0.16,0.48,Barenfeld16,,,,,,,,,,,,,,,,,,,,,,
,Usco,J16102819-1910444,J16102819,6.63,0.11,GaiaDR2,,,,,,II,M4,Luhman12,3.515,0.019,Barenfeld16,-1.620,145.0,0.150,,,,Barenfeld16,,,,,,,,,1,0.05,0.16,0.53,Barenfeld16,,,,,,,,,,,,,,,,,,,,,,
,Usco,J16102857-1904469,J16102857,,,?,,,,,,EVOLVED,M3,Luhman12,3.533,0.018,Barenfeld16,-0.350,145.0,0.150,,,,Barenfeld16,,,,,,,,,0,0.66,0.16,0.00,Barenfeld16,,,,,,,,,,,,,,,,,,,,,,
,Usco,J16103956-1916524,J16103956,6.30,0.07,GaiaDR2,,,,,,DEBRIS,M2,Luhman12,3.552,0.018,Barenfeld16,-0.940,145.0,0.150,,,,Barenfeld16,,,,,,,,,1,0.07,0.16,0.55,Barenfeld16,,,,,,,,,,,,,,,,,,,,,,
,Usco,J16104202-2101319,GSC_06213-01459,7.14,0.05,GaiaDR2,,,,,,DEBRIS,K5,Luhman12,3.639,0.024,Barenfeld16,-0.140,145.0,0.150,,,,Barenfeld16,,,,,,,,,1,0.17,0.12,0.53,Barenfeld16,,,,,,,,,,,,,,,,,,,,,,
,Usco,J16104636-1840598,J16104636,6.99,0.14,GaiaDR2,,,,,,II,M4.5,Luhman12,3.505,0.020,Barenfeld16,-1.570,145.0,0.150,,,,Barenfeld16,,,,,,,,,0,1.78,0.16,0.00,Barenfeld16,,,,,,,,,,,,,,,,,,,,,,
,Usco,J16111330-2019029,J16111330,6.44,0.06,GaiaDR2,,,,,,II,M3,Luhman12,3.533,0.018,Barenfeld16,-0.760,145.0,0.140,,,,Barenfeld16,,,,,,,,,0,4.88,0.16,0.00,Barenfeld16,,,,,,,,,,,,,,,,,,,,,,
,Usco,J16111534-1757214,J16111534,7.33,0.06,GaiaDR2,,,,,,II,M1,Luhman12,3.569,0.017,Barenfeld16,-0.480,145.0,0.150,,,,Barenfeld16,,,,,,,,,1,0.18,0.16,0.66,Barenfeld16,,,,,,,,,,,,,,,,,,,,,,
,Usco,J16112057-1820549,V1157_Sco,7.33,0.06,GaiaDR2,,,,,,DEBRIS,K5,Luhman12,3.639,0.024,Barenfeld16,-0.130,145.0,0.150,,,,Barenfeld16,,,,,,,,,1,-0.06,0.16,0.48,Barenfeld16,,,,,,,,,,,,,,,,,,,,,,
,Usco,J16113134-1838259,AS_205,,,?,,,,,,II,K5,Luhman12,3.639,0.024,Barenfeld16,0.450,145.0,0.150,,,,Barenfeld16,,,,,,,,,0,903.56,0.85,0.00,Barenfeld16,,,,,,,,,,,,,,,,,,,,,,
